"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_CHROMOSOME_SEGREGATION","1.69800040691222e-09","3.51243512744128e-07","0.788186810800237","-0.67248108629451","-2.61680165070356","50","c(""SPC25"", ""DLGAP5"", ""PTTG1"", ""MKI67"", ""UBE2C"", ""NUSAP1"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""MND1"", ""TPX2"", ""CENPM"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""CSNK1D"", ""ASPM"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAPRE2"", ""CCNB2"", ""MAP9"", ""ESCO2"", ""MYBL2"", ""CENPU"")"
"2","GOBP_CHROMOSOME_ORGANIZATION","3.4644349296103e-10","1.25412544451893e-07","0.814035837847908","-0.657888996899908","-2.58703958909365","54","c(""HMGB2"", ""SPC25"", ""DLGAP5"", ""PTTG1"", ""UBE2C"", ""NUSAP1"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""PCNA"", ""AURKB"", ""MND1"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""MYC"", ""MCM7"", ""PRC1"", ""KIF2C"", ""PLK1"", ""CDC45"", ""MAP9"", ""ESCO2"", ""MYBL2"", ""CENPA"", ""STAG1"", ""ZWINT"", ""FEN1"", ""CEP55"", ""CCNB1"", ""GINS2"")"
"3","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION","2.54781364227719e-10","1.22974471800579e-07","0.814035837847908","-0.621858122822965","-2.50002420806981","68","c(""TUBA1A"", ""TUBA4A"", ""EZR"", ""SPC25"", ""DLGAP5"", ""GADD45A"", ""NUSAP1"", ""NDC80"", ""STMN1"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""MAD2L1"", ""NUF2"", ""CSNK1D"", ""ASPM"", ""TUBB2A"", ""MAP1B"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAPRE2"", ""CCNB2"", ""PARD6G"", ""MAP9"", ""MYBL2"", ""CHD3"", ""ROCK1"", ""GJA1"", ""CENPA"", ""TPPP3"", ""STAG1"", ""SPRY1"")"
"4","GOBP_SISTER_CHROMATID_SEGREGATION","3.08393988320848e-08","4.96171661209542e-06","0.719512826338911","-0.71355711698815","-2.44508256590782","32","c(""SPC25"", ""DLGAP5"", ""UBE2C"", ""NUSAP1"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAP9"", ""MYBL2"", ""STAG1"", ""ZWINT"", ""CEP55"", ""CCNB1"")"
"5","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","4.27379207234027e-08","5.62586447340792e-06","0.719512826338911","-0.747840113760709","-2.43645241221046","28","c(""SPC25"", ""DLGAP5"", ""UBE2C"", ""NUSAP1"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAP9"", ""MYBL2"", ""STAG1"", ""ZWINT"", ""CEP55"", ""CCNB1"")"
"6","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","9.22230993529182e-09","1.66923809828782e-06","0.747739663149885","-0.678741909277838","-2.42410345161822","40","c(""SPC25"", ""DLGAP5"", ""PTTG1"", ""UBE2C"", ""NUSAP1"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""MND1"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""ASPM"", ""PRC1"", ""KIF2C"", ""PLK1"", ""CCNB2"", ""MAP9"", ""MYBL2"")"
"7","GOBP_SPINDLE_ORGANIZATION","1.02300633325909e-07","1.05808083611369e-05","0.704975715167238","-0.710253940753028","-2.41978663514704","31","c(""EZR"", ""SPC25"", ""DLGAP5"", ""NDC80"", ""STMN1"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""NUF2"", ""CSNK1D"", ""ASPM"", ""PRC1"", ""PLK1"", ""MAPRE2"", ""CCNB2"", ""MAP9"", ""MYBL2"", ""CHD3"")"
"8","GOBP_ORGANELLE_FISSION","3.47795722281312e-08","5.0360820586334e-06","0.719512826338911","-0.593462007132859","-2.37981762485687","62","c(""RGCC"", ""SPC25"", ""DLGAP5"", ""PTTG1"", ""MKI67"", ""UBE2C"", ""NUSAP1"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""MND1"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""ASPM"", ""PDGFRB"", ""PRC1"", ""KIF2C"", ""PLK1"", ""CCNB2"", ""MAP9"", ""MYBL2"", ""NFIB"", ""DCN"", ""STAG1"", ""ZWINT"", ""PLCB1"", ""EPS8"", ""CEP55"", ""CCNB1"")"
"9","GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION","1.29259999030398e-06","0.000103982488108898","0.643551836150722","-0.745530918530528","-2.34449894124895","22","c(""SPC25"", ""DLGAP5"", ""MKI67"", ""UBE2C"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""KIF2C"", ""PLK1"")"
"10","GOBP_MITOTIC_NUCLEAR_DIVISION","5.55480426722029e-07","5.36223771928999e-05","0.659444398037935","-0.616757795638177","-2.34444119744409","47","c(""RGCC"", ""SPC25"", ""DLGAP5"", ""MKI67"", ""UBE2C"", ""NUSAP1"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PDGFRB"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAP9"", ""MYBL2"", ""NFIB"", ""STAG1"", ""ZWINT"", ""EPS8"", ""CEP55"", ""CCNB1"")"
"11","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","8.99949165993525e-07","8.1445399522414e-05","0.659444398037935","-0.695696072691273","-2.32176186588673","30","c(""SPC25"", ""DLGAP5"", ""NUSAP1"", ""NDC80"", ""STMN1"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""MAD2L1"", ""NUF2"", ""PRC1"", ""PLK1"", ""MAP9"", ""MYBL2"", ""GJA1"", ""CENPA"", ""STAG1"", ""SPRY1"")"
"12","GOBP_CELL_DIVISION","5.61961854434727e-08","6.25939050170373e-06","0.719512826338911","-0.534922912184358","-2.29920889752621","86","c(""ZFP36L2"", ""TUBA1A"", ""CCNA2"", ""SPC25"", ""CCND2"", ""PTTG1"", ""UBE2C"", ""NUSAP1"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""STMN1"", ""NCAPH"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""CENPF"", ""CKS1B"", ""MAD2L1"", ""NUF2"", ""ASPM"", ""MYC"", ""WNK1"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAPRE2"", ""CCNB2"", ""PARD6G"", ""MAP9"", ""CDCA3"", ""PGF"", ""ROCK1"", ""WWTR1"", ""MDK"", ""CENPA"", ""STAG1"", ""ZWINT"")"
"13","GOBP_CHROMOSOME_SEPARATION","1.40197370361482e-06","0.000106845153833382","0.643551836150722","-0.799857590141863","-2.27975446199872","15","c(""SPC25"", ""DLGAP5"", ""UBE2C"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PLK1"")"
"14","GOBP_MITOTIC_SPINDLE_ORGANIZATION","8.5317415303441e-06","0.000411798724531275","0.593325476396405","-0.71712604434387","-2.25517307185619","22","c(""SPC25"", ""DLGAP5"", ""NDC80"", ""STMN1"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CENPE"", ""NUF2"", ""PRC1"", ""PLK1"", ""MAP9"", ""MYBL2"")"
"15","GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION","7.98421891703227e-06","0.000398660310064232","0.593325476396405","-0.663427828681954","-2.19372613580626","29","c(""SPC25"", ""DLGAP5"", ""UBE2C"", ""TOP2A"", ""NDC80"", ""NCAPG"", ""NCAPH"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""MYC"")"
"16","GOBP_SPINDLE_ASSEMBLY","4.58663229566943e-05","0.00174774830634982","0.557332238758646","-0.696227245862611","-2.13611119220501","21","c(""NDC80"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""CDC20"", ""CSNK1D"", ""ASPM"", ""PRC1"", ""PLK1"", ""MAPRE2"", ""CCNB2"", ""MAP9"", ""MYBL2"", ""STAG1"")"
"17","GOBP_MICROTUBULE_BASED_PROCESS","2.45341598998528e-06","0.000154458537108638","0.627256739718528","-0.492188592667508","-2.11552798682892","86","c(""TUBA1A"", ""TUBA4A"", ""EZR"", ""SPC25"", ""DLGAP5"", ""GADD45A"", ""GTSE1"", ""NUSAP1"", ""NDC80"", ""STMN1"", ""AURKB"", ""TPX2"", ""BIRC5"", ""KIF23"", ""ASH1L"", ""CDC20"", ""CENPE"", ""MAD2L1"", ""NUF2"", ""CSNK1D"", ""ASPM"", ""HSPB1"", ""TUBB2A"", ""MAP1B"", ""PRC1"", ""KIF2C"", ""PLK1"", ""MAPRE2"", ""CCNB2"", ""PARD6G"", ""MAP9"", ""MYBL2"", ""CHD3"", ""ROCK1"", ""GJA1"", ""CENPA"", ""TPPP3"", ""STAG1"", ""SPRY1"")"
"18","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","6.87534066600078e-05","0.00221233184097092","0.538434096309916","-0.631534637277581","-2.10763449065549","30","c(""RGCC"", ""SPC25"", ""DLGAP5"", ""MKI67"", ""UBE2C"", ""NUSAP1"", ""NDC80"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PDGFRB"", ""PLK1"")"
"19","GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION","3.11719015128808e-05","0.00121991657812571","0.557332238758646","-0.547711795404827","-2.09958849550803","49","c(""TUBA1A"", ""EZR"", ""RAC2"", ""YWHAZ"", ""LAT"", ""SPC25"", ""NUSAP1"", ""NDC80"", ""AURKB"", ""BIRC5"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""CSNK1D"", ""MAP1B"", ""IFNG"", ""KIF2C"", ""PLK1"", ""MYO1B"", ""GJA1"", ""CENPA"", ""SPRY1"")"
"20","GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION","0.000169388192577515","0.00422886384228004","0.518848077743792","-0.706434949309717","-2.09858233715999","18","c(""SPC25"", ""DLGAP5"", ""UBE2C"", ""NDC80"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPE"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PLK1"")"
"21","GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING","0.000322340304976989","0.00676447480589391","0.49849310876659","-0.694825118841499","-2.05110860565697","17","c(""SPC25"", ""GTSE1"", ""NDC80"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""CLSPN"", ""PLK1"")"
"22","GOBP_REGULATION_OF_NUCLEAR_DIVISION","8.46820820148643e-05","0.00255457614078174","0.538434096309916","-0.5968457762642","-2.04515821836243","32","c(""RGCC"", ""SPC25"", ""DLGAP5"", ""MKI67"", ""UBE2C"", ""NUSAP1"", ""NDC80"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""PDGFRB"", ""PLK1"")"
"23","GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING","0.000296297437072608","0.00640356252061398","0.49849310876659","-0.677830937968404","-2.03317911625867","20","c(""SPC25"", ""GTSE1"", ""NDC80"", ""AURKB"", ""BIRC5"", ""CDC20"", ""CENPF"", ""MAD2L1"", ""NUF2"", ""CLSPN"", ""PLK1"", ""CDC45"")"
