"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","1.84586992020115e-48","7.71573626644079e-46","1.81454230543492","-0.97119747484711","-3.69223938926371","56","c(""Rps16"", ""Rps27a"", ""Rpl18a"", ""Rplp0"", ""Rps10"", ""Rps18"", ""Rpl28"", ""Rpl32"", ""Rpsa"", ""Rps3a1"", ""Rpl13"", ""Rpl11"", ""Rpl18"", ""Rps14"", ""Rpl9"", ""Rpl17"", ""Rps23"", ""Rps8"", ""Rpl19"", ""Rps20"", ""Rps7"", ""Rpl26"", ""Rpl8"", ""Rpl27a"", ""Rps5"", ""Rps3"", ""Rps4x"", ""Rpl10a"", ""Rps19"", ""Rps6"", ""Rpl4"", ""Rpl29"", ""Rpl22"", ""Rpl35"", ""Rps25"", ""Rpl6"", ""Rpl21"", ""Rps12"", ""Rplp1"", ""Rps26"", ""Rpl41"", ""Rpl3"", ""Rps2"", ""Rpl36a"", ""Rpl10"", ""Rpl36"", ""Rpl39"", ""Rpl15"", ""Rpl7a"", ""Rpl38"", ""Rps17"", ""Rpl23a"", ""Rpl37"", ""Rps28"", ""Rpl31"", ""Rps15"")"
"2","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","1.75662255468005e-16","3.67134113928131e-14","1.04762648849882","-0.874132514497211","-3.04873632844742","41","c(""Rps16"", ""Rps27a"", ""Rps10"", ""Rps18"", ""Rpsa"", ""Rps3a1"", ""Rps14"", ""Rps23"", ""Rps8"", ""Rps20"", ""Rps7"", ""Rps5"", ""Rps3"", ""Rps4x"", ""Rps19"", ""Rps6"", ""Rps25"", ""Rps12"", ""Rps26"", ""Rps2"", ""Eif3i"", ""Rps17"", ""Rps28"", ""Rps15"")"
"3","REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","5.32084452289398e-07","4.44822602113936e-05","0.659444398037935","-0.642360618219966","-2.44208746226087","56","c(""Rps27a"", ""Psmb5"", ""Psma3"", ""Ubb"", ""Psma2"", ""Psmd12"", ""Psmb6"", ""Mcm6"", ""Psmb7"", ""Psmc3"", ""Mcm3"", ""Anapc5"", ""Psmc4"", ""Mcm4"", ""Psme2"", ""Mcm2"", ""Mcm7"", ""Psmd7"", ""Psma7"", ""Cdc27"", ""Cdc6"", ""Psmc2"", ""Psma6"", ""Orc6"", ""Gmnn"", ""Cdt1"", ""Ube2s"", ""Psma1"", ""Cdc16"", ""Psma5"")"
"4","REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY","0.000115061192848851","0.00553593130724239","0.538434096309916","-0.642207992616933","-2.19523226307707","35","c(""Rps27a"", ""Psmb5"", ""Psma3"", ""Ubb"", ""Psma2"", ""Psmd12"", ""Psmb6"", ""Psmb7"", ""Psmc3"", ""Psmc4"", ""Psme2"", ""Runx3"", ""Psmd7"", ""Psma7"", ""Psmc2"", ""Psma6"")"
"5","REACTOME_CHROMOSOME_MAINTENANCE","0.000119194693218138","0.00553593130724239","0.538434096309916","-0.531660704809271","-2.03265358762118","58","c(""H3f3a"", ""Npm1"", ""Rbbp4"", ""Dkc1"", ""Nop10"", ""Smarca5"", ""Rpa3"", ""Gar1"", ""Nhp2"", ""Cenpa"", ""Cenpq"", ""Lig1"", ""Fen1"", ""Cenpw"", ""Blm"", ""Cenph"", ""Prim1"", ""Mis18a"", ""Wrn"", ""Hjurp"", ""Cenpm"", ""Rfc3"", ""Cenpl"", ""Ruvbl1"", ""Rfc4"", ""Rpa2"", ""Pold1"", ""Prim2"", ""Cenpn"", ""Pcna"", ""H3f3b"", ""Pola1"", ""Pold2"", ""Chtf18"", ""Rfc2"")"
"6","REACTOME_MRNA_SPLICING_MINOR_PATHWAY","0.000999520703325555","0.0288447283643969","0.45505986738723","-0.587819164007244","-2.00931724381916","35","c(""Snrpe"", ""Snrpf"", ""Snrpg"", ""Snrpb"", ""Snrpd2"", ""Snrpd1"", ""Zcrb1"", ""Polr2h"", ""Snrnp25"", ""Polr2c"", ""Polr2f"", ""Sf3b4"", ""Snrnp40"", ""Snrnp200"", ""Gtf2f1"", ""Ncbp1"", ""Snrpd3"", ""Gtf2f2"")"
"7","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION","0.00103509790781329","0.0288447283643969","0.45505986738723","-0.641148921270685","-1.96523971495442","28","c(""Snrpe"", ""Snrpf"", ""Snrpg"", ""Srsf3"", ""Snrpb"", ""Nudt21"", ""Magoh"", ""U2af1"", ""Rnps1"", ""Srsf9"", ""Eif4a3"", ""Thoc7"", ""Alyref"")"
"8","WP_PROTEASOME_DEGRADATION","0.00119853441957328","0.03015990429638","0.45505986738723","-0.609736830983069","-1.95017673934312","31","c(""Psmb5"", ""Psma3"", ""Ubb"", ""Psma2"", ""Psmd12"", ""Psmb6"", ""Psmb7"", ""Psmc3"", ""Psmc4"", ""Psme2"", ""Psmd7"", ""Psma7"", ""Nedd4"", ""Psmc2"", ""Psma6"")"
"9","REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY","0.00219117008801645","0.048205741936362","0.431707695803346","-0.561308873815624","-1.91296373356998","36","c(""Rps27a"", ""Psmb5"", ""Psma3"", ""Ubb"", ""Psma2"", ""Psmd12"", ""Psmb6"", ""Psmb7"", ""Psmc3"", ""Psmc4"", ""Psme2"", ""Psmd7"", ""Psma7"", ""Psmc2"", ""Psma6"")"
"10","REACTOME_HEMOSTASIS","0.00015304108652043","0.00639711741655397","0.518848077743792","0.782760790233043","1.21598428845884","196","c(""Sirpa"", ""P2ry12"", ""Sdc3"", ""Igf1"", ""Lhfpl2"", ""Mertk"", ""Rhob"", ""Trf"", ""Lyn"", ""Fcer1g"", ""Psap"", ""Pdgfb"", ""Pros1"", ""Slc7a8"", ""Slc7a7"", ""Cd63"", ""Pf4"", ""Lgals3bp"", ""Gna15"", ""Plcg2"", ""Pdgfa"", ""Fgr"", ""Tgfb2"", ""Dock7"", ""Plek"", ""Dock1"", ""F11r"", ""Syk"", ""App"", ""Prcp"", ""Serpina3f"", ""Sirpb1b"", ""P2rx4"", ""Jchain"", ""Cd36"", ""Hgf"", ""Kif1a"", ""Cd44"", ""Plau"", ""Slc3a2"", ""F10"", ""Pla2g4a"", ""Mag"", ""Selp"", ""Tmsb4x"", ""Atp2b4"", ""Mgll"", ""Dagla"", ""Pde2a"", ""Gas6"", ""Atp2b1"", ""Sod1"", ""Ehd1"", ""Procr"")"
