"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_E2F_TARGETS","5.99577355758681e-13","2.69809810091406e-11","0.921426003494898","-0.594714566847275","-2.19694383860571","175","c(""Xrcc6"", ""Hmgb2"", ""Dut"", ""Nap1l1"", ""Mki67"", ""Birc5"", ""Top2a"", ""Dek"", ""Lbr"", ""Hells"", ""Ccnb2"", ""Cenpe"", ""Lig1"", ""Mcm7"", ""Spc24"", ""Cdca8"", ""Rrm2"", ""Hmmr"", ""Cdca3"", ""Rad51ap1"", ""Racgap1"", ""Dlgap5"", ""Bub1b"", ""Mcm3"", ""Cdk1"", ""Dnmt1"", ""Mcm6"", ""Tacc3"", ""Cbx5"", ""Ctcf"", ""Aurkb"", ""Spc25"", ""Ezh2"", ""Rad21"", ""Cenpm"", ""Anp32e"", ""Atad2"", ""Tmpo"", ""Cit"", ""Tk1"", ""Cks2"", ""Pnn"", ""Kif4"", ""Cdc20"", ""Diaph3"", ""Slbp"", ""Mcm5"", ""Kif22"", ""E2f8"", ""Ccne1"", ""Ncapd2"", ""Aurka"", ""Smc4"", ""Depdc1a"", ""Mxd3"", ""Orc6"", ""Kif2c"", ""Usp1"", 
""Plk1"", ""Cdkn3"", ""Tipin"", ""Mad2l1"", ""Rfc1"", ""Smc3"", ""Chek1"", ""Trip13"", ""Tcf19"", ""Ube2t"", ""Brca1"", ""Spag5"", ""Mcm2"", ""Rfc3"", ""Asf1b"", ""Plk4"", ""Bard1"", ""Pole"", ""Smc1a"", ""Pold1"", ""Rpa2"", ""Mybl2"", ""Pold3"", ""Ung"", ""Ubr7"", ""Kif18b"", ""Espl1"", ""Cdc25b"", ""Brca2"", ""Melk"", ""Prim2"", ""Timeless"", ""Gins1"", ""Mcm4"", ""Cdkn1a"", ""Suv39h1"", ""Cks1b"", ""Rad50"", ""Pcna"", ""Msh2"", ""Rpa3"", ""Mms22l"", ""Psip1"", ""Ipo7"", ""Mthfd2"")"
"2","HALLMARK_G2M_CHECKPOINT","1.14705187017386e-10","2.58086670789119e-09","0.839088935621274","-0.597185278302156","-2.1556636642804","141","c(""E2f2"", ""Mki67"", ""Birc5"", ""Top2a"", ""Lbr"", ""Ccnb2"", ""Cenpe"", ""Nusap1"", ""Tpx2"", ""Cenpf"", ""Prc1"", ""Hmmr"", ""Ube2c"", ""Racgap1"", ""Cenpa"", ""Kif11"", ""Mcm3"", ""Cdk1"", ""Ccna2"", ""Mcm6"", ""Tacc3"", ""Chaf1a"", ""Ctcf"", ""Aurkb"", ""Fbxo5"", ""Ezh2"", ""Rad21"", ""Pbk"", ""Tmpo"", ""Kif15"", ""Cdc6"", ""Incenp"", ""Cks2"", ""Gins2"", ""Bub1"", ""Kif4"", ""Cdc20"", ""Smc2"", ""Nek2"", ""Mcm5"", ""Kif20b"", ""Kif22"", ""Aurka"", ""Smc4"", ""Exo1"", ""Ndc80"", ""Ccnf"", ""Orc6"", ""Kif2c"", ""E2f1"", ""Plk1"", ""Cdkn3"", ""Mad2l1"", ""Chek1"", ""Uck2"", ""Cdc45"", ""Mcm2"", ""Plk4"", 
""Pml"", ""Bard1"", ""Marcks"", ""Pole"", ""Ttk"", ""Smc1a"", ""Rad54l"", ""Rpa2"", ""Wrn"", ""Mybl2"", ""Espl1"", ""Stil"", ""Cbx1"", ""Cdc25b"", ""Brca2"", ""Troap"", ""E2f4"", ""Cdc7"", ""Prim2"")"
"3","HALLMARK_INTERFERON_ALPHA_RESPONSE","6.70298648129462e-07","6.03268783316516e-06","0.659444398037935","-0.667732709215622","-2.05222303748388","56","c(""Ly6e"", ""Bst2"", ""B2m"", ""Sell"", ""Rtp4"", ""Epsti1"", ""Irf7"", ""Ifit3"", ""Parp14"", ""Lgals3bp"", ""Usp18"", ""Isg15"", ""Psmb9"", ""Trim25"", ""Dhx58"", ""Herc6"", ""Ddx60"", ""Eif2ak2"", ""Oas1a"", ""Ifitm2"", ""Oasl1"", ""Ifih1"", ""Parp9"", ""Samd9l"", ""Irf9"", ""Cmpk2"", ""Stat2"", ""Rsad2"", ""Ifi44"", ""Ifi30"")"
"4","HALLMARK_MITOTIC_SPINDLE","2.85705450574411e-07","3.21418631896213e-06","0.674962860011025","-0.60890428135937","-2.01410145371161","85","c(""Birc5"", ""Top2a"", ""Ccnb2"", ""Cenpe"", ""Nusap1"", ""Tpx2"", ""Cenpf"", ""Prc1"", ""Cep250"", ""Racgap1"", ""Dlgap5"", ""Kif11"", ""Cdk1"", ""Fbxo5"", ""Kif15"", ""Incenp"", ""Bub1"", ""Kif4"", ""Nek2"", ""Kif20b"", ""Kif22"", ""Aurka"", ""Smc4"", ""Ect2"", ""Ndc80"", ""Kif2c"", ""Plk1"", ""Rfc1"", ""Smc3"", ""Ckap5"", ""Anln"", ""Pcnt"", ""Cntrl"", ""Kntc1"", ""Marcks"", ""Ttk"", ""Smc1a"", ""Nin"", ""Espl1"", ""Pif1"", ""Brca2"", ""Nck2"", ""Sass6"", ""Pcm1"", ""Epb41l2"")"
"5","HALLMARK_MTORC1_SIGNALING","0.00176160682844472","0.00880803414222361","0.45505986738723","0.45644265684509","1.54458043566381","132","c(""Ldha"", ""Aldoa"", ""Tuba4a"", ""Atp5g1"", ""Got1"", ""Pgk1"", ""Psmb5"", ""Hspa5"", ""Calr"", ""Tomm40"", ""Sytl2"", ""Psmc4"", ""Prdx1"", ""Cacybp"", ""Psma3"", ""Ctsc"", ""Egln3"", ""Abcf2"", ""Etf1"", ""Tfrc"", ""Psmc2"", ""Hspa4"", ""Psmd13"", ""Hspe1"", ""Eef1e1"", ""Hspa9"", ""Psma4"", ""Rrp9"", ""Psmg1"", ""Pno1"", ""Psmd14"", ""Stip1"", ""Serp1"", ""Psme3"", ""Ppia"", ""Ppp1r15a"", ""Ppa1"", ""Hprt"", ""Slc2a3"", ""Psmd12"", ""Psat1"", ""Pnp"", ""Ddit4"", ""Hmgcr"", ""Nufip1"", ""Phgdh"")"
"6","HALLMARK_MYC_TARGETS_V2","0.0084280396985694","0.0344783442214203","0.380730400722792","0.533430451301677","1.5789774725624","52","c(""Dusp2"", ""Cdk4"", ""Nip7"", ""Phb"", ""Grwd1"", ""Mrto4"", ""Ppan"", ""Mphosph10"", ""Wdr74"", ""Ndufaf4"", ""Hspe1"", ""Noc4l"", ""Rrp9"", ""Pa2g4"", ""Srm"", ""Rcl1"", ""Nolc1"", ""Pus1"", ""Aimp2"", ""Tbrg4"", ""Nop16"", ""Npm1"", ""Bysl"", ""Imp4"", ""Prmt3"", ""Exosc5"")"
"7","HALLMARK_UV_RESPONSE_UP","0.00218816496353991","0.00984674233592958","0.431707695803346","0.53530235190287","1.65464893400874","68","c(""Aldoa"", ""Ephx1"", ""Tuba4a"", ""Junb"", ""Nr4a1"", ""Hnrnpu"", ""Bcl2l11"", ""Amd1"", ""Rrad"", ""Fos"", ""Nfkbia"", ""Polr2h"", ""Creg1"", ""Bsg"", ""Tfrc"", ""Cltb"", ""Fkbp4"", ""Fosb"", ""Icam1"", ""Mrpl23"", ""Stip1"")"
"8","HALLMARK_HYPOXIA","0.00140737095917113","0.00791646164533759","0.45505986738723","0.518665560785041","1.65483638628325","85","c(""Bcl2"", ""Ldha"", ""Aldoa"", ""Ets1"", ""Ndrg1"", ""Eno3"", ""Pgk1"", ""Dusp1"", ""Hspa5"", ""Fam162a"", ""Chst2"", ""Pfkp"", ""Fos"", ""Mif"")"
"9","HALLMARK_TNFA_SIGNALING_VIA_NFKB","5.7045341385211e-05","0.00036672005176207","0.557332238758646","0.520947602737376","1.75371310139589","124","c(""Dusp2"", ""Cd69"", ""Ier2"", ""Id2"", ""Tnfrsf9"", ""Egr2"", ""Gpr183"", ""Junb"", ""Egr1"", ""Nfkb1"", ""Trib1"", ""Nr4a1"", ""Dusp5"", ""Rel"", ""Dusp1"", ""Relb"", ""Nr4a3"", ""Nfkb2"", ""Bcl2a1d"", ""Fos"", ""Atp2b1"", ""Nfkbia"", ""Gadd45b"", ""Nr4a2"", ""Ier5"", ""Ptger4"", ""Il7r"", ""Klf10"", ""Yrdc"", ""Fosb"", ""Icam1"", ""Csf2"", ""Tnf"", ""Gem"", ""Ppp1r15a"", ""Fosl2"", ""Dusp4"", ""Slc2a3"", ""Sat1"", ""Zc3h12a"")"
"10","HALLMARK_MYC_TARGETS_V1","3.3380600829313e-06","2.50354506219848e-05","0.627256739718528","0.510646581986288","1.7906191905027","178","c(""Eif4a1"", ""Ldha"", ""Nme1"", ""Hnrnpa1"", ""Srsf3"", ""Cdk4"", ""Phb2"", ""Hsp90ab1"", ""Hnrnpd"", ""Pgk1"", ""Hnrnpa3"", ""Cct3"", ""Hnrnpu"", ""Cct2"", ""Psma2"", ""Psmb3"", ""Cct7"", ""Rps2"", ""Apex1"", ""Fbl"", ""Cct5"", ""Eef1b2"", ""Cox5a"", ""Ywhaq"", ""Psmc4"", ""Psmb2"", ""Vdac3"", ""Eif2s1"", ""Psma1"", ""Psma7"", ""Rsl1d1"", ""Phb"", ""G3bp1"", ""Erh"", ""Eif4e"", ""Tcp1"", ""Cct4"", ""Etf1"", ""Lsm2"", ""Snrpd2"", ""Cnbp"", ""Nhp2"", ""Hspe1"", ""Ranbp1"", ""Gspt1"", ""Rps6"", ""C1qbp"", ""Prpf31"", ""Mrps18b"", ""Psmd3"", ""Psma4"", ""Txnl4a"", ""Rplp0"", ""Snrpa"", ""Syncrip"", ""Psma6"", 
""Rrp9"", ""Slc25a3"", ""Mrpl23"", ""Odc1"", ""Ywhae"", ""Pa2g4"", ""Psmd14"", ""Srm"", ""Snrpa1"", ""Nolc1"", ""Sf3b3"", ""Ppia"", ""Srsf7"", ""Aimp2"", ""Ap3s1"", ""Hprt"", ""Nop16"", ""Npm1"", ""Uba2"", ""Ssbp1"", ""Prdx3"", ""Cyc1"")"
