"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_TRANSLATION_AT_SYNAPSE","4.12348689618671e-28","9.47577288743706e-25","1.37274298193398","-0.956953954979321","-3.30223659072193","34","c(""Rpl28"", ""Rpl32"", ""Rps26"", ""Rpl26"", ""Rps10"", ""Rps14"", ""Rpl10a"", ""Rpl23"", ""Rpl17"", ""Rpl35"", ""Rpl4"", ""Rpl29"", ""Rps27a"", ""Rps5"", ""Rpl37"", ""Rpl7a"", ""Rpl6"", ""Rpl22"", ""Rplp2"", ""Rpl27a"", ""Rpl23a"", ""Rpl5"", ""Rpl13"", ""Rpl36a"", ""Rpl10"", ""Rps16"", ""Rpl36"", ""Rpl9"", ""Rpl15"", ""Rps28"")"
"2","GOBP_RIBOSOME_ASSEMBLY","1.07760928265982e-12","8.25448710517421e-10","0.910119734774459","-0.8011452299204","-2.89602682586301","37","c(""Rplp0"", ""Rpl11"", ""Rps14"", ""Rps5"", ""Rpl6"", ""Rps25"", ""Rpl23a"", ""Rpl5"", ""Rpl10"", ""Rps15"", ""Rps28"", ""Rpsa"", ""Rps19"", ""Eif2a"", ""Rpl38"", ""Rps6"")"
"3","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","5.4396073913965e-13","6.25010889271458e-10","0.921426003494898","-0.736239329012583","-2.74668731753386","53","c(""Rplp0"", ""Rpl26"", ""Rpl11"", ""Rpl10a"", ""Rpl35"", ""Rpl7a"", ""Rpl6"", ""Rpl23a"", ""Rpl5"", ""Rpl10"", ""Npm1"", ""Gm2000"", ""Rpl38"", ""Nifk"", ""Wdr12"")"
"4","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","8.2048584982045e-12","4.71369120721849e-09","0.875325132024659","-0.691113132259027","-2.66116951777674","59","c(""Rps3a1"", ""Rps8"", ""Rps14"", ""Rps17"", ""Rps5"", ""Rps25"", ""Rps7"", ""Npm1"", ""Rps16"", ""Rps23"", ""Rps15"", ""Rps28"", ""Nol7"", ""Rpsa"", ""Rps19"", ""Rpl38"", ""Rps6"", ""Rps12"")"
"5","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY","4.12163845685038e-07","0.000189430503476844","0.674962860011025","-0.839644089179495","-2.5188658456759","18","c(""Rplp0"", ""Rpl11"", ""Rpl6"", ""Rpl23a"", ""Rpl5"", ""Rpl10"", ""Rpl38"")"
"6","GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","6.65655819630582e-06","0.00253147612692302","0.610526878385931","-0.653579495801914","-2.24562231564485","32","c(""Rpl26"", ""Rpl11"", ""Rps20"", ""Rpl23"", ""Sox4"", ""Rpl37"", ""Rpl5"", ""Rps7"", ""Npm1"", ""Rps15"")"
"7","GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","0.000236648228632167","0.0180724926083354","0.518848077743792","-0.735801573526497","-2.17149813352101","17","c(""Rpl26"", ""Rpl11"", ""Rps20"", ""Rpl23"", ""Rpl37"", ""Rps7"", ""Rps15"")"
"8","GOBP_MATURATION_OF_LSU_RRNA","0.000297320504569097","0.020785057181074","0.49849310876659","-0.660013297409642","-2.10252697512055","24","c(""Rpl10a"", ""Rpl35"", ""Rpl7a"", ""Npm1"", ""Gm2000"", ""Nifk"", ""Wdr12"")"
"9","GOBP_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS","0.00100148695103248","0.0460283402694527","0.45505986738723","-0.643363063488551","-1.93279926559855","19","c(""Naca"", ""Npm1"", ""Rapgef3"", ""Dynlt1f"", ""Camk2a"", ""Camk2d"", ""Eng"")"
"10","GOBP_NEGATIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","0.000746638876425276","0.0399017706517508","0.477270815362862","-0.525495213086042","-1.81336783433791","34","c(""Rpl11"", ""Rpl23"", ""Sox4"", ""Rps3"", ""Rpl5"", ""Capn3"", ""Rps7"", ""Isg15"")"
