"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","3.02031476967862e-33","1.69228236545093e-29","1.50238688881415","-0.940791812801516","-3.45110651662913","45","c(""Rpl28"", ""Rpl32"", ""Rplp0"", ""Rpl26"", ""Rpl18a"", ""Rpl11"", ""Rpl18"", ""Rpl10a"", ""Rpl23"", ""Rpl17"", ""Rpl35"", ""Rpl39"", ""Rpl4"", ""Rpl29"", ""Rplp1"", ""Rpl37"", ""Rpl7a"", ""Rpl6"", ""Rpl22"", ""Rplp2"", ""Rpl27a"", ""Rpl23a"", ""Rpl5"", ""Rpl31"", ""Rpl13"", ""Rpl36a"", ""Rpl10"", ""Rpl21"", ""Rpl41"", ""Rpl36"", ""Rpl9"", ""Rpl15"", ""Rpl19"", ""Rpl3"", ""Rpl8"", ""Gm2000"")"
"2","BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES","3.92338658492712e-25","7.32757834511556e-22","1.30309315086572","-0.914011665954328","-3.41679913341643","42","c(""Rpl28"", ""Rpl32"", ""Rpl26"", ""Rpl18a"", ""Rps3a1"", ""Rps10"", ""Rps8"", ""Rpl18"", ""Rps14"", ""Rps17"", ""Rpl23"", ""Rpl4"", ""Rpl29"", ""Rps27a"", ""Eef1b2"", ""Eef1a1"", ""Rps3"", ""Rps5"", ""Rpl7a"", ""Rpl6"", ""Rpl27a"", ""Rps25"", ""Rpl5"", ""Rpl13"", ""Rps4x"", ""Rps7"", ""Rpl36a"", ""Rpl10"", ""Rpl21"", ""Rps16"", ""Rpl15"", ""Rps23"", ""Rps19"", ""Rpl8"")"
"3","GOBP_TRANSLATION_AT_SYNAPSE","4.98541844231856e-28","1.39666497661555e-24","1.37274298193398","-0.956953954979321","-3.35869869274253","34","c(""Rpl28"", ""Rpl32"", ""Rps26"", ""Rpl26"", ""Rps10"", ""Rps14"", ""Rpl10a"", ""Rpl23"", ""Rpl17"", ""Rpl35"", ""Rpl4"", ""Rpl29"", ""Rps27a"", ""Rps5"", ""Rpl37"", ""Rpl7a"", ""Rpl6"", ""Rpl22"", ""Rplp2"", ""Rpl27a"", ""Rpl23a"", ""Rpl5"", ""Rpl13"", ""Rpl36a"", ""Rpl10"", ""Rps16"", ""Rpl36"", ""Rpl9"", ""Rpl15"", ""Rps28"")"
"4","TABULA_MURIS_SENIS_THYMUS_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING","3.97815209959712e-22","5.57239655351066e-19","1.22105375677186","-0.884751950502759","-3.23795696818245","44","c(""Rpl18a"", ""Rpl11"", ""Rps3a1"", ""Rps10"", ""Rps8"", ""Rps20"", ""Rpl23"", ""Rpl17"", ""Rpl35"", ""Eef1a1"", ""Rps3"", ""Rpl6"", ""Rplp2"", ""Rpl27a"", ""Rpl23a"", ""Rpl5"", ""Rpl13"", ""Rps4x"", ""Rps7"", ""Rpl36a"", ""Rpl21"", ""Rps16"", ""Rpl36"", ""Rpl9"", ""Rps23"", ""Rps15"", ""Rpsa"", ""Rps19"", ""Rpl8"", ""Cd79b"", ""Rpl38"", ""Gimap7"")"
"5","GOCC_POLYSOME","4.05089106757539e-16","4.48343430390392e-13","1.03769615548758","-0.83068672876926","-3.0823488222631","43","c(""Rpl32"", ""Rps26"", ""Rpl18a"", ""Rpl11"", ""Rpl18"", ""Rpl10a"", ""Rpl39"", ""Rpl29"", ""Rps3"", ""Rpl7a"", ""Rpl6"", ""Rpl31"", ""Rps4x"", ""Rpl36a"", ""Rpl36"", ""Rps23"", ""Rpl19"", ""Rps28"", ""Btf3"", ""Rpl8"", ""Rpl38"", ""Rpl36al"", ""Rps6"")"
"6","TABULA_MURIS_SENIS_KIDNEY_FIBROBLAST_AGEING","4.80110758940274e-16","4.48343430390392e-13","1.02766987054358","-0.898430101446154","-3.0796877907221","29","c(""Rpl32"", ""Rps26"", ""Rpl18a"", ""Rps10"", ""Rps17"", ""Rpl23"", ""Rps18"", ""Rpl39"", ""Rps27a"", ""Eef1b2"", ""Rps3"", ""Rps5"", ""Rpl37"", ""Rpl6"", ""Rpl22"", ""Rps25"", ""Rpl13"", ""Rps4x"", ""Rpl21"", ""Rps16"", ""Rps23"", ""Rps15"", ""Rps28"", ""Rps19"", ""Rpl8"")"
"7","GOCC_SMALL_RIBOSOMAL_SUBUNIT","4.3571798512556e-15","3.48761124379788e-12","0.996986217533181","-0.770029648184444","-3.0118347900624","52","c(""Rps26"", ""Rps3a1"", ""Rps10"", ""Rps8"", ""Rps20"", ""Rps14"", ""Rps17"", ""Rps18"", ""Rps27a"", ""Rps3"", ""Rps5"", ""Rps25"", ""Rps4x"", ""Rps7"", ""Npm1"", ""Rps16"", ""Rps23"", ""Rps15"", ""Rps28"", ""Rpsa"", ""Rps19"", ""Eif2a"", ""Chchd1"", ""Rps6"", ""Rps12"")"
"8","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","2.16208922046897e-12","1.00951549185731e-09","0.898671232061694","-0.795200079471129","-2.9876187014567","40","c(""Rps26"", ""Rps3a1"", ""Rps10"", ""Rps8"", ""Rps20"", ""Rps14"", ""Rps17"", ""Rps18"", ""Rps3"", ""Rps5"", ""Rps25"", ""Rps4x"", ""Rps7"", ""Rps16"", ""Rps23"", ""Rps15"", ""Rps28"", ""Rpsa"", ""Rps19"", ""Pabpc1"", ""Rps6"", ""Rps12"")"
"9","GOMF_RRNA_BINDING","1.79815080208589e-12","9.15912631280658e-10","0.910119734774459","-0.784045324607371","-2.93095316554913","42","c(""Rplp0"", ""Rpl11"", ""Rpl23"", ""Rpl17"", ""Rps18"", ""Rpl4"", ""Rps3"", ""Rps5"", ""Rpl37"", ""Rpl6"", ""Rpl23a"", ""Rpl5"", ""Rps4x"", ""Npm1"", ""Rpl9"", ""Rpl19"", ""Rpl3"", ""Rpl8"")"
"10","GOBP_RIBOSOME_ASSEMBLY","1.6533991391922e-12","9.15912631280658e-10","0.910119734774459","-0.8011452299204","-2.92335332449658","37","c(""Rplp0"", ""Rpl11"", ""Rps14"", ""Rps5"", ""Rpl6"", ""Rps25"", ""Rpl23a"", ""Rpl5"", ""Rpl10"", ""Rps15"", ""Rps28"", ""Rpsa"", ""Rps19"", ""Eif2a"", ""Rpl38"", ""Rps6"")"
